AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
5.5;1;1;2035;0;45;0.581395348837209;78;0.023198651;;0.105263157894737;0;0;346
;0;0;1163;1;9;0.1;0;0.023198651;;;0;0;
0;1;1;2396;4;6;0;0;0.023198651;;0;0;2;2215
1.43478260869565;0;1;4504;3;47;2.58333333333333;0;0.031356486;;1.83333333333333;0;2;2301
;;;1668;0;6;;0;0.026860354;;;;0;
0;0;1;653;0;10;0;0;0.023198651;;0;0;0;
0.0256410256410256;1;1;3718;0;77;0.0178571428571429;31;0.023198651;;0;0;0;1151
0.0866666666666667;2;1;1520;1;66;0.112359550561798;80;0.023198651;;0.0344827586206897;0;0;1112
;0;1;5012;4;98;0.0344827586206897;0;0.023198651;6;0;0;1;599
;4;1;2661;0;11;0;0;0.026860354;;0;0;0;
0;0;1;831;0;24;0;30;0.023198651;;0;0;0;
0;0;1;155;0;4;0;56;0.023198651;;0;0;0;
0.5;0;1;101;0;3;0;33;0.023198651;;0;0;0;
5;1;1;4499;1;60;0.428571428571429;40;0.020120724;11;0;0;0;
0;0;2;1025;1;29;0;54;0.023198651;;0;0;0;303
0.5;1;0;1616;0;36;0.0714285714285714;17;0.023198651;;0;0;0;
;;;555;1;11;1.75;0;0.031356486;;2.625;;2;
4.5;3;0;4869;0;23;5;0;0.023198651;5;5;0;0;1406
;0;1;4757;0;29;0.315789473684211;0;0.023198651;;;0;0;
0.00819672131147541;3;1;3533;1;99;0;0;0.023198651;;0;0;0;2842
0;2;0;5269;0;20;0;15;0.023198651;;0;0;0;4998
;0;1;848;0;10;0;0;0.023198651;;;0;0;
;0;1;2656;0;4;;0;0.026860354;;;0;0;2505
0.333333333333333;1;1;2001;0;24;0;3;0.023198651;;0;0;0;1881
;1;0;5730;0;23;;0;0.026860354;;;3;0;4688
;1;0;5683;0;10;;0;0.023198651;;;0;0;
0.736842105263158;3;1;3956;0;75;0;0;0.023198651;;;0;0;1713
0;1;1;3974;0;17;0;6;0.023198651;5;0;0;0;
;0;0;377;1;7;1.125;0;0.023198651;;1.125;0;1;129
0;0;1;3053;0;14;0;0;0.023198651;;0;0;0;
;0;0;303;0;9;0;1;0.023198651;3;0;0;0;
;;;4234;0;17;;0;0.026860354;;;;0;
;;;4867;0;6;;0;0.031356486;;;;0;
;1;0;3090;0;14;;0;0.031356486;;;0;0;2672
1.66666666666667;0;1;3168;0;21;0;0;0.023198651;;0;0;0;27
;0;1;3259;0;17;;0;0.023198651;;;0;0;2344
;1;0;4803;0;38;;24;0.031356486;;;0;0;2707
0.0149253731343284;1;1;1953;0;67;0;75;0.023198651;;0;0;0;
;0;1;5649;0;52;0;0;0.026860354;;;0;0;972
;;;4239;0;12;;0;0.026860354;;;;0;
;0;2;1964;0;10;;0;0.023198651;;;0;0;
;0;1;1771;1;6;;0;0.023198651;;;0;0;1321
0;2;1;5605;0;27;0;26;0.023198651;1;0;0;0;4003
;1;0;5723;2;25;;0;0.026860354;;;0;0;
8.21428571428571;0;1;3577;0;50;0.909090909090909;3;0.020120724;1;2.08333333333333;0;0;2143
;0;1;1322;3;4;;0;0.023198651;;;0;0;1180
;0;0;5385;1;5;;0;0.031356486;;;1;0;5047
;1;1;3779;2;99;0;0;0.031356486;1;;0;0;562
;1;0;3820;3;29;0;0;0.023198651;;0;0;0;280
;1;1;3053;0;42;0;0;0.023198651;;0;0;0;
15.4285714285714;0;1;3698;3;88;0;33;0.020120724;;0;0;0;814
;2;0;140;3;4;0;20;0.023198651;;0;0;6;
;;;3213;0;15;1.41666666666667;0;0.023198651;;;;0;2760
0;0;1;2085;0;40;0;2;0.020120724;3;0;0;0;1003
;0;0;2748;14;49;0;0;0.023198651;;0;0;8;400
;0;1;1346;0;29;0;0;0.020120724;4;;0;0;392
;0;1;4360;1;40;0.173913043478261;0;0.023198651;;;0;0;447
;0;1;540;0;12;0;0;0.023198651;;0;0;0;
;0;0;1856;0;20;;0;0.026860354;;;0;0;1333
;1;1;208;0;6;0;4;0.023198651;;0;0;0;
1.45222929936306;0;1;3858;3;40;0.666666666666667;0;0.023198651;;0.5;0;3;1760
;0;1;3002;0;36;;0;0.026860354;;;0;0;1353
0.421383647798742;1;0;2469;2;64;0.783783783783784;43;0.023198651;48;0.571428571428571;0;1;724
;0;0;2456;1;45;0;0;0.020120724;1;;0;1;486
0.247863247863248;4;1;5647;11;68;0;0;0.023198651;1;0;0;4;1370
;0;0;1408;0;11;0;0;0.031356486;;;0;0;1036
;0;1;2312;0;60;0.258064516129032;0;0.026860354;1;0;0;0;
;0;0;4780;1;15;;0;0.023198651;;;0;1;
